omega_1,A_1,phi_1,omega_1(std),A_1(std),phi_1(std),omega_2,A_2,phi_2,omega_2(std),A_2(std),phi_2(std)
239.99999999999577,0.9983109406826244,-0.0010506675360049704,1.268104249371182e-13,4.591969280474593e-12,6.10187379523007e-15,199.9999999999982,0.5089807430324874,-0.00041657116659343964,3.034435836085859e-14,5.603275016030304e-13,1.7517651237502106e-15
240.0000000000185,1.0231019980293523,-0.0010659164429654194,2.196855815610588e-13,8.153818568496094e-12,1.05709961620199e-14,200.00000000000378,0.5068932764139339,-0.00042017843979165253,4.5932303190294135e-14,8.4441881564934e-13,2.651219136413305e-15
239.99999999999872,0.987419374301811,-0.0010352947510975348,1.3204115828011664e-14,4.72937854077419e-13,6.353276046211801e-16,199.99999999999946,0.5072581527400583,-0.00042272671851632397,1.0477546490666934e-14,1.9280527721361985e-13,6.048321829368744e-16
240.00000000000134,1.0155953530333321,-0.001036601178730973,1.485151314909374e-14,5.472017634846634e-13,7.146026179032242e-16,199.9999999999951,0.4756077791492068,-0.0004369080519744385,6.68044453288259e-14,1.1527443559053469e-12,3.8565767474744214e-15
240.00000000000003,0.9926901332521415,-0.0010438266843010888,7.642766541293583e-16,2.7522592953408287e-14,3.6775137242996146e-17,200.00000000000415,0.4687944378578024,-0.00041226949317959194,4.556423779912388e-14,7.747101671568014e-13,2.6300598778784292e-15
239.99999999999872,1.022176097391133,-0.0010588541859516793,1.3600303781158904e-14,5.042578388744766e-13,6.544054863066624e-16,199.9999999999986,0.5202255960069074,-0.0003714172445998693,1.5259078355166518e-14,2.8804061556442084e-13,8.808688511389698e-16
240.0,0.9916787897370695,-0.00106435257541362,6.583697229360058e-16,2.3682485244514396e-14,3.167913010904947e-17,200.00000000000313,0.5007748902088615,-0.00045701768531838255,4.066208444378832e-14,7.386222587332749e-13,2.347182408875304e-15
240.00000000000003,0.9769817421154967,-0.0010421651213030692,4.705042740073117e-16,1.667492021595034e-14,2.263854390727903e-17,199.99999999999852,0.5029561826000659,-0.0004106461768517233,1.4844469810901117e-14,2.7086933389817087e-13,8.56900927640824e-16
240.00000000000458,0.9723609871012519,-0.0010576974316153162,8.360920392795611e-14,2.9493220238866005e-12,4.023207366451745e-15,199.9999999999923,0.4875337672798134,-0.00046811918160390294,9.147611085775971e-14,1.6179820927965975e-12,5.28067704889014e-15
240.00000000000026,1.0147251103777968,-0.0010359048114816345,8.576243630645205e-15,3.156968814970712e-13,4.1266380736751805e-16,200.0000000000012,0.5198727973316202,-0.0003774947072124119,1.548428231502967e-14,2.9194354618886524e-13,8.937270625985153e-16
