A1,A2,sigma1,sigma2,mu1,mu2,A1_conf,A2_conf,sigma1_conf,sigma2_conf,mu1_conf,mu2_conf
0.462,1.6156,1.6365,1.9681,-3.9874,4.0043,0.0316,0.0289,0.1329,0.0418,0.1302,0.0407
0.5114,1.5947,1.5242,2.0143,-4.081,3.9994,0.0311,0.0272,0.1093,0.0404,0.1078,0.0397
0.5257,1.5753,1.4529,1.9904,-4.0344,4.0315,0.0346,0.0296,0.1121,0.0439,0.1109,0.0432
0.4876,1.5905,1.507,2.0196,-3.956,3.9699,0.0353,0.0306,0.129,0.046,0.127,0.0449
0.5227,1.6027,1.5039,1.9876,-3.9778,4.0034,0.0333,0.0291,0.1129,0.0425,0.1113,0.0416
0.5441,1.605,1.4882,1.9682,-4.0036,3.9963,0.0361,0.0315,0.116,0.0454,0.1146,0.0446
0.4772,1.593,1.5439,1.9842,-3.9778,4.0063,0.0346,0.0306,0.1321,0.045,0.1301,0.0441
0.4885,1.5971,1.4343,2.0007,-3.8263,3.9763,0.0354,0.0301,0.1227,0.0445,0.121,0.0436
0.5191,1.5923,1.3752,1.9798,-3.9889,3.9774,0.0353,0.0295,0.1092,0.0428,0.1083,0.0423
0.4872,1.5643,1.4691,2.0239,-4.0703,4.0013,0.0352,0.0301,0.1247,0.0457,0.1232,0.0449
0.4744,1.5639,1.6065,2.0025,-3.9813,3.965,0.0307,0.0276,0.1237,0.0421,0.1212,0.0409
0.5068,1.5912,1.4742,1.9925,-3.9579,3.996,0.0335,0.0289,0.1146,0.0426,0.1131,0.0418
0.5109,1.5676,1.4832,2.0181,-3.9883,4.0154,0.0336,0.0289,0.115,0.0439,0.1134,0.043
0.5004,1.5982,1.5017,2.0026,-3.9512,3.9854,0.0315,0.0274,0.1116,0.0405,0.1099,0.0396
0.4994,1.5945,1.537,2.0015,-4.1094,4.0012,0.0319,0.028,0.1156,0.0414,0.114,0.0407
0.5125,1.6065,1.4475,1.9914,-4.0388,4.0105,0.0316,0.027,0.1046,0.0392,0.1035,0.0387
0.5145,1.5838,1.5193,2.0067,-3.9887,4.0297,0.0327,0.0285,0.1137,0.0426,0.112,0.0417
0.4925,1.6079,1.5671,1.9875,-4.069,4.0002,0.0325,0.0289,0.122,0.0422,0.1202,0.0414
0.4914,1.6058,1.4534,2.0211,-4.0457,4.012,0.0335,0.0284,0.1161,0.042,0.1148,0.0413
0.5183,1.5894,1.4497,2.009,-4.0164,3.9954,0.0334,0.0284,0.1097,0.0422,0.1084,0.0415
0.504,1.6129,1.5279,1.9568,-4.0396,3.9705,0.0322,0.0285,0.1149,0.0407,0.1134,0.04
0.502,1.5854,1.4481,1.9849,-3.9619,3.9864,0.0337,0.0288,0.114,0.0424,0.1127,0.0417
